cardmarket_product_id,idMetacard,cardmarket_product_name,matched_collector_number,matched_card_name,matched_rarity,matched_finish,numbered_identity_status,finish_status,treatment_status,mapping_status,mapping_confidence,mapping_method,mapping_evidence,notes,price_low,price_trend,price_avg1,price_avg7,price_avg30,price_low_holo,price_trend_holo,price_avg1_holo,price_avg7_holo,price_avg30_holo,candidate_count,candidate_numbers,detected_treatment,source_expansion_id,target_expansion_id
719454,421091,Butterfree [Whirlwind | Bye Bye Flight],012,Butterfree,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=butterfree; attack_signature=whirlwind | bye bye flight; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.5,0.05,0.8,0.27,0.5,6.04,0.99,6.36,4.05,1,012,,5328,5328
719455,421092,Weedle [Ram | Bug Bite],013,Weedle,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=weedle; attack_signature=ram | bug bite; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.06,0.09,0.05,0.06,0.03,1.08,0.19,0.74,0.81,1,013,,5328,5328
719456,421093,Kakuna [Cocoon Cover | Zzzt],014,Kakuna,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=kakuna; attack_signature=cocoon cover | zzzt; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.02,0.05,0.04,0.05,0.03,4.37,2.08,2.25,1.98,1,014,,5328,5328
719457,421094,Beedrill [Nadir Needle | Pierce],015,Beedrill,Rare,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=beedrill; attack_signature=nadir needle | pierce; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.11,0.15,0.12,0.11,0.09,4.31,1.16,2.73,2.5,1,015,,5328,5328
719458,421095,Pidgey [Call for Family | Tackle],016,Pidgey,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=pidgey; attack_signature=call for family | tackle; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.4,3.52,0.42,0.26,0.02,2.36,0.15,1.67,1.41,1,016,,5328,5328
719459,421096,Pidgeotto [Flap],017,Pidgeotto,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=pidgeotto; attack_signature=flap; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.69,0.25,0.58,0.3,0.02,1.06,0.2,0.58,0.7,1,017,,5328,5328
719460,421097,Pidgeot [Flap | Fly],018,Pidgeot,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=pidgeot; attack_signature=flap | fly; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.15,0.18,0.08,0.15,0.39,4.09,2.45,2.82,3.94,1,018,,5328,5328
719461,421098,Rattata [Gnaw the Wound],019,Rattata,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=rattata; attack_signature=gnaw the wound; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.11,0.04,0.06,0.76,0.02,2.18,0.72,1.41,1.59,1,019,,5328,5328
719462,421099,Raticate [Second Bite],020,Raticate,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=raticate; attack_signature=second bite; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.02,0.11,0.08,0.32,0.08,3.81,0.6,1.94,1.91,1,020,,5328,5328
719463,421100,Spearow [Evolutionary Advantage | Speed Dive],021,Spearow,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=spearow; attack_signature=evolutionary advantage | speed dive; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.04,0.03,0.03,0.05,0.02,1.56,0.15,1.53,1.01,1,021,,5328,5328
719464,421101,Fearow [Beak Catch | Speed Dive],022,Fearow,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=fearow; attack_signature=beak catch | speed dive; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.02,0.24,0.11,0.6,0.02,2.45,0.5,1.8,1.46,1,022,,5328,5328
719465,421102,Ekans [Acid Spray],023,Ekans,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=ekans; attack_signature=acid spray; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.07,0.06,0.05,0.08,0.02,2.36,0.2,2.05,1.2,1,023,,5328,5328
719466,421103,Arbok ex [Bind Down | Menacing Fangs],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=arbok ex; attack_signature=bind down | menacing fangs; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.26,0.35,0.26,0.32,,0,,,,2,"024,185",,5328,5328
719467,421104,Pikachu [Charge | Pika Punch],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=pikachu; attack_signature=charge | pika punch; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.07,0.3,0.09,0.13,0.25,3.01,1,1.15,9.64,2,"025,173",,5328,5328
719468,421105,Raichu [Electrical Grounding | Thunder],026,Raichu,Rare,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=raichu; attack_signature=electrical grounding | thunder; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.2,0.25,0.18,0.19,0.07,4.12,2.5,4.1,3.13,1,026,,5328,5328
719469,421106,Sandshrew [Sand Screen | Scratch],027,Sandshrew,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=sandshrew; attack_signature=sand screen | scratch; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.07,0.05,0.04,0.16,0.03,2.1,0.19,1.01,1.27,1,027,,5328,5328
719470,421107,Sandslash [Rumble | Spike Rend],028,Sandslash,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=sandslash; attack_signature=rumble | spike rend; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.13,0.29,0.11,0.15,0.1,1.24,0.9,1.2,0.8,1,028,,5328,5328
719471,421108,Nidoran [F] [Poison Horn],029,Nidoran♀,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=nidoran f; attack_signature=poison horn; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.08,0.08,0.07,0.07,0.02,2.76,0.2,2.48,1.32,1,029,,5328,5328
719472,421109,Nidorina [Fetch Family | Sharp Fang],030,Nidorina,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=nidorina; attack_signature=fetch family | sharp fang; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.13,0.38,0.21,0.13,0.02,2.07,0.15,2.62,1.37,1,030,,5328,5328
719473,421110,Nidoqueen [Queen Press | Lunge Out],031,Nidoqueen,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=nidoqueen; attack_signature=queen press | lunge out; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.1,0.18,0.08,0.08,0.02,1.98,0.49,2.12,1.9,1,031,,5328,5328
719474,421111,Nidoran [M] [Horn Attack],032,Nidoran♂,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=nidoran m; attack_signature=horn attack; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.14,0.12,0.06,0.44,0.02,1.06,0.2,0.31,1.15,1,032,,5328,5328
719475,421112,Nidorino [Sharp Fang | Superpowered Horns],033,Nidorino,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=nidorino; attack_signature=sharp fang | superpowered horns; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.06,0.05,0.06,0.08,0.03,1.48,0.2,1.07,0.75,1,033,,5328,5328
719476,421113,Nidoking [Enthusiastic King | Venom Impact],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_only,name_signature=nidoking; attack_signature=enthusiastic king | venom impact; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.13,0.08,0.09,0.13,0.02,5.09,2.45,5.68,2.81,2,"034,174",,5328,5328
719477,421114,Clefairy [Moon-Viewing Invitation | Smack],035,Clefairy,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=clefairy; attack_signature=moon viewing invitation | smack; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.06,0.05,0.05,0.06,0.02,0.93,0.69,0.95,2.42,1,035,,5328,5328
719478,421115,Clefable [Follow Me | More Moon],036,Clefable,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=clefable; attack_signature=follow me | more moon; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,1.1,0.15,0.09,0.9,0.02,2.89,0.94,2.92,1.79,1,036,,5328,5328
719479,421116,Vulpix [Super Singe],037,Vulpix,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=vulpix; attack_signature=super singe; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.13,0.06,0.1,0.11,0.02,1.13,0.2,0.95,1.37,1,037,,5328,5328
719480,421117,Ninetales ex [Heat Wave | Mirrored Flames],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_and_attack_signature,name_signature=ninetales ex; attack_signature=heat wave | mirrored flames; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.1,0.42,0.65,0.49,0.54,,0,,,,2,"038,186",,5328,5328
719481,421118,Jigglypuff [Lead | Stompy Stomp],039,Jigglypuff,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=jigglypuff; attack_signature=lead | stompy stomp; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.05,0.03,0.04,0.09,0.02,1.08,0.15,0.99,1.34,1,039,,5328,5328
719482,421119,Wigglytuff ex [Expanding Body | Friend Tackle],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_only,name_signature=wigglytuff ex; attack_signature=expanding body | friend tackle; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.29,0.33,0.4,0.31,,0,,,,2,"040,187",,5328,5328
719483,421120,Zubat [Revealing Echo | Bite],041,Zubat,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=zubat; attack_signature=revealing echo | bite; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.07,0.12,0.06,0.26,0.1,3.41,0.5,2.51,1.59,1,041,,5328,5328
719484,421121,Golbat [Skill Dive],042,Golbat,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=golbat; attack_signature=skill dive; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.13,0.06,0.07,0.13,0.02,2.05,0.5,1.45,1.34,1,042,,5328,5328
719485,421122,Oddish [Razor Leaf],043,Oddish,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=oddish; attack_signature=razor leaf; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.23,0.46,0.09,0.15,0.03,2.21,0.15,2.97,1.15,1,043,,5328,5328
719486,421123,Gloom [Semi-Blooming Energy | Drool],044,Gloom,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=gloom; attack_signature=semi blooming energy | drool; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.23,0.36,0.1,0.36,0.04,1.86,0.2,1.82,1.46,1,044,,5328,5328
719487,421124,Vileplume [Fully Blooming Energy | Solar Beam],045,Vileplume,Rare,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=vileplume; attack_signature=fully blooming energy | solar beam; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.05,0.11,0.11,0.14,0.02,2.43,0.57,2.3,1.78,1,045,,5328,5328
719488,421125,Paras [Stampede | Spore Ball],046,Paras,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=paras; attack_signature=stampede | spore ball; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.05,0.04,0.03,0.06,0.05,0.71,0.5,0.39,1.08,1,046,,5328,5328
719489,421126,Parasect [Spread Filaments | Claw Slash],047,Parasect,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=parasect; attack_signature=spread filaments | claw slash; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.08,0.08,0.06,0.07,0.15,2.65,1.22,2.07,1.43,1,047,,5328,5328
719490,421127,Venonat [Gnaw | Beam],048,Venonat,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=venonat; attack_signature=gnaw | beam; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.02,0.17,0.13,0.43,0.19,0.95,0.2,0.4,2,1,048,,5328,5328
719491,421128,Venomoth [Perplexing Powder | Speed Wing],049,Venomoth,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=venomoth; attack_signature=perplexing powder | speed wing; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.08,0.3,0.14,0.1,0.2,2.13,0.5,0.89,1.82,1,049,,5328,5328
719492,421129,Diglett [Headbutt Bounce | Mud-Slap],050,Diglett,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=diglett; attack_signature=headbutt bounce | mud slap; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.11,0.58,0.13,0.09,0.14,2.44,0.85,1.24,1.49,1,050,,5328,5328
719493,421130,Dugtrio [Headbutt Bounce | Mud Bomb],051,Dugtrio,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=dugtrio; attack_signature=headbutt bounce | mud bomb; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.02,0.15,0.06,0.38,0.02,5.09,0.2,3.52,2.23,1,051,,5328,5328
719494,421131,Meowth [Come Here Right Meow | Dig Claws],052,Meowth,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=meowth; attack_signature=come here right meow | dig claws; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.04,0.04,0.04,0.14,0.02,2.6,0.15,3.04,1.47,1,052,,5328,5328
719495,421132,Persian [Rocket Call | Slash],053,Persian,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_only,name_signature=persian; attack_signature=rocket call | slash; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.13,0.22,0.11,0.09,0.03,1.03,0.15,0.86,1.32,1,053,,5328,5328
719496,421133,Psyduck [Overthinking | Water Gun],,,,,AMBIGUOUS,UNKNOWN,UNKNOWN,AMBIGUOUS,LOW,exact_name_only,name_signature=psyduck; attack_signature=overthinking | water gun; no_direct_external_id_match,no unique numbered printing candidate; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.14,0.55,0.14,0.23,0.03,12.68,40,11.99,5.14,2,"054,175",,5328,5328
719497,421134,Golduck [Aquatic Rescue | Super Splash],055,Golduck,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=golduck; attack_signature=aquatic rescue | super splash; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.29,0.59,0.29,0.19,0.1,3.15,4.7,3.25,1.69,1,055,,5328,5328
719498,421135,Mankey [Thrash],056,Mankey,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=mankey; attack_signature=thrash; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.32,0.83,0.19,0.34,0.05,3.57,0.49,1.95,2.09,1,056,,5328,5328
719499,421136,Primeape [Rant and Rave | Raging Smash],057,Primeape,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=primeape; attack_signature=rant and rave | raging smash; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.07,0.05,0.07,0.08,0.3,1.46,1.45,1.34,1.58,1,057,,5328,5328
719500,421137,Growlithe [Vaporize],058,Growlithe,Common,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=growlithe; attack_signature=vaporize; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.66,0.04,0.58,0.33,0.02,3.73,0.98,0.91,2.98,1,058,,5328,5328
719501,421138,Arcanine [Torrid Torrent | Dynamite Fang],059,Arcanine,Uncommon,,PROBABLE,AMBIGUOUS,UNKNOWN,PROBABLE,MEDIUM,exact_name_and_attack_signature,name_signature=arcanine; attack_signature=torrid torrent | dynamite fang; no_direct_external_id_match,TCGdex supports multiple finishes and local Product Catalogue does not expose finish; idMetacard retained as Cardmarket grouping evidence; never used as numbered identity,0.02,0.57,0.2,0.96,0.37,0.03,4.41,1.9,3.8,3.99,1,059,,5328,5328
